smiles,similarity_score,prediction,final_score
CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO,0.3220338983050847,1.0627058,0.3422272915254237
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,0.3584905660377358,0.8883167,0.31845315660377355
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.3,1.02949,0.308847
CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)C(O)CO,0.28125,1.0515645,0.295752515625
O.OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,0.29411764705882354,1.0049763,0.29558126470588236
O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.27586206896551724,1.0641831,0.2935677517241379
OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0.2549019607843137,1.0496993,0.26757040980392155
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.2545454545454545,1.0386502,0.26438368727272726
Cl.NC1C(O)OC(CO)C(O)C1O,0.2553191489361702,1.0258137,0.2619098808510638
O.OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.25,1.0165316,0.2541329
NC1C(OC2C(C(=O)[O-])OC(COC3C(CO)OC(O)C(O)C3O)C(OS(=O)(=O)[O-])C2O)OC(COS(=O)(=O)[O-])C(O)C1O,0.21794871794871795,1.1031545,0.240431108974359
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1.O=P(O)(O)O,0.23529411764705882,1.0121456,0.23815190588235294
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,0.2608695652173913,0.9126121,0.23807272173913044
O=C1OC(CO)C(O)C(O)C1O,0.20408163265306123,1.049185,0.21411938775510206
OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,0.2033898305084746,1.0501761,0.21359513898305088
C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12.[Br-],0.21212121212121213,1.006153,0.21342639393939397
O.O.OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,0.22916666666666666,0.92927086,0.21295790541666668
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,0.21311475409836064,0.99133164,0.21126739868852457
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,0.2153846153846154,0.9619746,0.20719452923076925
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1.Cl.Cl,0.23255813953488372,0.8847905,0.20576523255813953
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)CC(=O)C12,0.2054794520547945,0.99880415,0.2052337294520548
CCOC(=O)C1C(C=C(C)C)C1(C)C,0.2037037037037037,1.0041982,0.20455889259259258
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,0.1891891891891892,1.0719143,0.20279459729729732
CC(=O)OCC(COC(C)=O)OC(C)=O,0.19148936170212766,1.0547447,0.20197238936170214
COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O,0.19402985074626866,1.0343559,0.20069592089552238
